Bestandsnaam,Score,Redenen,Grootte,Pad
cache_vts_no_pois_com.whatsapp_default.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_its_ter.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
cache_its.m,4,Zeer oud (1702 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.whatsapp/cache
Screenshot_20200916-184213_Brave.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,287.52 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200916-134019_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,977.59 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-15_22-01-27.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.16 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200915-194328_Camera.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,572.03 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200915-165934_Outlook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,878.09 KB,/onbekend/internal card 2/DCIM/Screenshots
cache_vts_com.google.android.apps.photos_default.0,4,Zeer oud (1714 dagen) | Backup/temp patroon,1.30 MB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_vts_com.google.android.apps.photos_default.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_bd.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,26.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_r.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,20.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_labl_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_its.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_its_ter.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_inaka_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
cache_vts_no_pois_com.booking_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.booking/cache
2020-09-15_09-36-56.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,13.88 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
2020-09-15_01-50-02.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.97 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200915-000812_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,993.10 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-14_23-48-40.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.72 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200914-170342_17TRACK.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,331.58 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200914-152621_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,268.36 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-14_12-37-09.txt.gz,4,Zeer oud (1702 dagen) | Backup/temp patroon,14.27 KB,/onbekend/internal card 2/Android/data/com.microsoft.skydrive/cache/logs
Screenshot_20200914-090714_Nova Launcher.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.23 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-180513_Device care.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,306.83 KB,/onbekend/internal card 2/DCIM/Screenshots
tempFileForShare_20200913-095814.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.06 MB,/onbekend/internal card 2/Android/data/com.samsung.android.app.smartcapture/files/Pictures
Screenshot_20200913-095806_Photos.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.08 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-094600_Photos.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,763.45 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-085157_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,484.79 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200913-085134_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,913.82 KB,/onbekend/internal card 2/DCIM/Screenshots
cache_vts_com.airbnb.android_5a401ae9689a0c4.0,4,Zeer oud (1703 dagen) | Backup/temp patroon,1.56 MB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_com.airbnb.android_5a401ae9689a0c4.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,40.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_bd.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,26.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_its_ter.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_r.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_labl_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_inaka_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_its.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
cache_vts_no_pois_com.airbnb.android_default.m,4,Zeer oud (1703 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.airbnb.android/cache
Screenshot_20200912-154136_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,587.39 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200912-154051_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,854.70 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200912-150239_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,423.48 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200912-105216_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,664.28 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-09-01_120218_3-samengevoegd.pdf,4,Zeer oud (1702 dagen) | Backup/temp patroon,4.07 MB,/onbekend/internal card 2/WhatsApp/Media/WhatsApp Documents
Screenshot_20200911-170525_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,416.05 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200911-124105_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,407.34 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200910-194158_Maps.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,437.18 KB,/onbekend/internal card 2/DCIM/Screenshots
GCloudBackup.log,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.20 MB,/onbekend/internal card 2/G Cloud/Logs
GCloudBackup.log.1,4,Zeer oud (1702 dagen) | Backup/temp patroon,5.00 MB,/onbekend/internal card 2/G Cloud/Logs
Screenshot_20200910-110527.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,391.92 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200909-215607_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,304.96 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200909-120216_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,721.69 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200909-110654_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,721.35 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200909-105220_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,546.56 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200909-105214_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,545.66 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200909-101258_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,221.19 KB,/onbekend/internal card 2/DCIM/Screenshots
2020-04-23_10-50-11.mp4,4,Zeer oud (1702 dagen) | Backup/temp patroon,3.94 MB,/onbekend/internal card 2/WhatsApp/Media/WhatsApp Documents/Sent
Screenshot_20200908-172644_ABN AMRO.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,327.64 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200908-172337_ABN AMRO.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,322.39 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200908-172109_ABN AMRO.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,326.58 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200908-144325_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,881.88 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200907-235705_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,810.25 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200907-231205_Facebook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,1.25 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200907-213139_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,328.29 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200907-210910_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,949.66 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200907-145048_YouTube.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,166.20 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200907-113516_Translate.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,351.59 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200907-113142_Translate.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,437.68 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200906-205055_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,474.71 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200906-202141_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,790.54 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200906-201519_Maps.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,2.57 MB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200906-173119_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,937.06 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200906-165517_Settings.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,382.42 KB,/onbekend/internal card 2/DCIM/Screenshots
z7-android-logs-2020-09-06_15-44-26.zip,4,Zeer oud (1714 dagen) | Backup/temp patroon,1.07 KB,/onbekend/internal card 2/z7logs
z7-android-logs-2020-09-06_15-38-35.zip,4,Zeer oud (1714 dagen) | Backup/temp patroon,1.06 KB,/onbekend/internal card 2/z7logs
cached_content_index.exi,4,Zeer oud (1703 dagen) | Backup/temp patroon,16.88 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.youtube.music/cache/exo
cache_vts_inaka_com.google.android.apps.photos_default.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_vts_no_pois_com.google.android.apps.photos_default.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_vts_labl_com.google.android.apps.photos_default.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,27.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_bd.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,26.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_r.0,4,Zeer oud (1714 dagen) | Backup/temp patroon,678.00 B,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_r.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,32.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_its.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
cache_its_ter.m,4,Zeer oud (1714 dagen) | Backup/temp patroon,22.00 KB,/onbekend/internal card 2/Android/data/com.google.android.apps.photos/cache
Screenshot_20200906-144838.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,450.26 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200906-120359_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,987.08 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200905-170924_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,423.51 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200905-140827_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,390.21 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200905-084539_Maps.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,933.73 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200905-084533_Maps.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,154.05 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200905-082954_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,440.20 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200905-082403_Maps.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,776.57 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200903-131925_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,274.65 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200903-122550_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,67.84 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200903-120843_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,518.67 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200903-120645_Maps.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,541.16 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200902-183426_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,330.19 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200902-183422_Chrome.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,151.74 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200902-103600_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,124.87 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200902-002132_Netflix.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,36.21 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200901-230138_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,460.14 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200901-225605_Fake GPS.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,413.42 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200901-182818_WhatsApp.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,768.96 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200901-155519_WeatherBug.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,464.18 KB,/onbekend/internal card 2/DCIM/Screenshots
Screenshot_20200901-152527_Outlook.jpg,4,Zeer oud (1702 dagen) | Backup/temp patroon,368.74 KB,/onbekend/internal card 2/DCIM/Screenshots
