Bestandsnaam,Grootte,Aantal kopieën,Paden
20190617_113649.mp4,17.75 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20190220-WA0025.mp4,17.17 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID_20160703_191631.mp4,16.60 MB,2,/onbekend/Google Photo's/Videos | /onbekend/Google Photo's/Videos
VID-20181126-WA0007.mp4,16.49 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181225-WA0000.mp4,16.10 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
20150701_162254.mp4,14.90 MB,3,/onbekend/Google Photo's | /onbekend/Google Photo's/07 | /onbekend/Google Photo's/Videos
VID-20190101-WA0008.mp4,14.83 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181015-WA0018.mp4,14.68 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20190127-WA0016.mp4,14.44 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181015-WA0045.mp4,14.31 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20180913-WA0047.mp4,13.96 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20180708-WA0006.mp4,13.82 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20190126-WA0041.mp4,13.78 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20190112-WA0021.mp4,13.76 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181110-WA0010.mp4,13.43 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20180711-WA0043.mp4,13.23 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20190127-WA0004.mp4,12.79 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20180711-WA0042.mp4,12.53 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20180705-WA0016.mp4,12.46 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20181203-WA0005.mp4,12.29 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
20190627_191003.mp4,12.27 MB,2,/onbekend/Google Photo's | /onbekend/Google Photo's/Videos
VID-20180708-WA0010.mp4,11.92 MB,3,/onbekend/Google Photo's | /onbekend/Google Photo's/07 | /onbekend/Google Photo's/Videos
VID-20180913-WA0010.mp4,11.88 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
VID-20181117-WA0011.mp4,11.88 MB,2,/onbekend/Whatsapp 2122/WhatsApp/Media/WhatsApp Video | /onbekend/Google Photo's/Videos
